image_id,questions,answers
image762,**Question 5:** Are there more than 10 bottles visible in the image?,**
image604,**Question 1:** Where is the mug?,**
image604,**Question 2:** How many shelves are visible on the bookshelf?,**
image604,**Question 3:** Is there a fan near the window?,**
image604,**Question 4:** What is the position of the red object relative to the papers on the table?,**
image604,**Question 5:** Are there more than one window in the image?,**
image819,**Questions:**,**Answers:**
image1219,**Question 1:** How many pillows are on the couch?,**
image1219,**Question 2:** Where is the bookshelf located?,**
image1219,**Question 3:** Are there more than 4 chairs near the table?,**
image1219,**Question 4:** What is the position of the pink walker relative to the couch?,**
image1219,**Question 5:** Is there a window behind the dining table?,**
image1044,1.  **,**
image1044,2.  **,**
image1044,3.  **,**
image1044,4.  **,**
image1044,5.  **,**
image406,**Question 1:** Where is the pile of clothes?,**Answer 1:** The pile of clothes is on top of the dresser.
image406,**Question 2:** How many laundry detergent bottles are visible on the washing machine?,**Answer 2:** There appears to be one large blue laundry detergent bottle and possibly a white bottle on the washing machine.
image406,**Question 3:** Is there a blue laundry basket on the floor?,"**Answer 3:** Yes, there is a blue laundry basket on the floor."
image406,**Question 4:** What is the position of the cabinets relative to the washing machine?,**Answer 4:** The cabinets are above the washing machine.
image406,**Question 5:** Are there more than 5 garments hanging in the closet?,"**Answer 5:** Yes, there are more than 5 garments hanging in the closet."
image102,**Question 1:** Where are the white cups located?,**
image102,**Question 2:** How many white boxes are there on the bottom shelf?,**
image102,**Question 3:** Is there a white stool in the image?,**
image102,**Question 4:** What is the position of the silver water bottles relative to the white boxes?,**
image102,**Question 5:** Are there more than 10 purple cups in the image?,**
image1134,**Questions:**,**Answers:**
image873,**Questions:**,**Answers:**
image418,1.  **,**
image418,2.  **,**
image418,3.  **,**
image418,4.  **,**
image418,5.  **,**
image937,**Question 1:** Where is the white shelf with items on it?,"**Answer 1:** The white shelf is located behind the bed, near the wall."
image937,**Question 2:** How many pink storage boxes are in the image?,**Answer 2:** There are two pink storage boxes on the shelf.
image937,**Question 3:** Is there a blue towel on the green table?,"**Answer 3:** Yes, there is a blue towel on the green table."
image937,**Question 4:** What is the position of the bed relative to the green table?,**Answer 4:** The bed is to the left of the green table.
image937,**Question 5:** Are there more than one stuffed animal on the bed?,"**Answer 5:** Yes, there is more than one stuffed animal on the bed."
image1387,**Question 1:** Where is the decorative plate located?,**
image1387,**Question 2:** How many chairs are around the table?,**
image1387,**Question 3:** Is there a piano in the room?,**
image1387,**Question 4:** What is the position of the glass cabinet relative to the table?,**
image1387,**Question 5:** Are there more than 3 pictures on the wall?,**
image46,**Questions:**,**Answers:**
image1065,**Question 1:** Where is the teddy bear?,**Answer 1:** The teddy bear is on top of the tall dresser.
image1065,**Question 2:** How many drawers does the dresser with the bookshelf have?,**Answer 2:** The dresser with the bookshelf has three drawers.
image1065,**Question 3:** Is there a hanger on the closet doors?,"**Answer 3:** Yes, there are two hangers on the closet doors."
image1065,**Question 4:** What is the position of the dresser with the bookshelf relative to the bed?,**Answer 4:** The dresser with the bookshelf is to the right of the bed.
image1065,**Question 5:** Are there more than two dressers in the image?,"**Answer 5:** No, there are two dressers in the image."
image1206,**Question 1:** Where is the flower pot located?,**
image1206,**Question 2:** How many pool cues are there in the image?,**
image1206,**Question 3:** Is there a bench to the right of the pool table?,**
image1206,**Question 4:** What is the position of the pool table relative to the couch?,**
image1206,**Question 5:** Are there more than 2 windows in the image?,**
image809,**Question 1:** Where is the vase of flowers?,**
image809,**Question 2:** How many kitchen drawers are visible in the image?,**
image809,**Question 3:** Is there a chair near the door?,**
image809,**Question 4:** What is the position of the oven relative to the island?,**
image809,**Question 5:** Are there more than two chairs visible?,**
image971,**Question 1:** Where is the plush toy?,**Answer 1:** The plush toy is on the bench.
image971,**Question 2:** How many pillows are visible near the bed?,**Answer 2:** There appear to be two pillows near the bed.
image971,**Question 3:** Is there a window behind the bench?,"**Answer 3:** Yes, there is a window behind the bench."
image971,**Question 4:** What is the position of the bench relative to the window?,**Answer 4:** The bench is positioned in front of the window.
image971,**Question 5:** Are there more than one object on the bench?,"**Answer 5:** Yes, there are more than one objects on the bench."
image1124,**Question 1:** Where are the teddy bears?,**Answer 1:** The teddy bears are located next to the bed near the window.
image1124,**Question 2:** How many paintings are on the wall?,**Answer 2:** There are three paintings on the wall.
image1124,**Question 3:** Is there a book on the floor?,"**Answer 3:** Yes, there is a book on the floor."
image1124,**Question 4:** What is the position of the chair relative to the desk?,**Answer 4:** The chair is in front of the desk.
image1124,**Question 5:** Are there more than 5 teddy bears in the image?,"**Answer 5:** Yes, there are more than 5 teddy bears in the image."
image54,**Question 1:** Where is the laptop?,**Answer 1:** The laptop is on the dining table.
image54,**Question 2:** How many framed pictures are on the wall?,**Answer 2:** There are two framed pictures on the wall.
image54,**Question 3:** Is there a microwave in the kitchen?,"**Answer 3:** Yes, there is a microwave in the kitchen, visible through the opening in the wall."
image54,**Question 4:** What is the position of the book relative to the laptop?,**Answer 4:** The book is in front of the laptop on the table.
image54,**Question 5:** Are there more than two chairs visible in the image?,"**Answer 5:** Yes, there are more than two chairs visible."
image527,1.  **,**
image527,2.  **,**
image527,3.  **,**
image527,4.  **,**
image527,5.  **,**
image276,**Question 1:** How many lights are visible on the ceiling?,**Answer 1:** There appear to be at least 8 lights visible on the ceiling.
image276,**Question 2:** Where is the conference table located?,**Answer 2:** The conference table is located in the center of the room.
image276,**Question 3:** Are there any chairs around the conference table?,"**Answer 3:** Yes, there are several chairs around the conference table."
image276,**Question 4:** What is the position of the window relative to the conference table?,**Answer 4:** The window is located on the right side of the conference table.
image276,**Question 5:** Is there more than one pillar in the room?,"**Answer 5:** Yes, there are at least two pillars visible in the room."
image1265,**Question 1:** Where is the purple stool?,**
image1265,**Question 2:** How many recliners are visible?,**
image1265,**Question 3:** Is there a rug on the floor?,**
image1265,**Question 4:** What is the position of the picture relative to the archway?,**
image1265,**Question 5:** Are there more than one pictures in the image?,**
image332,**Questions:**,**Answers:**
image531,**Question 1:** Where are the red curtains located?,**
image531,**Question 2:** How many drawers are on the dresser?,**
image531,**Question 3:** Is there a cell phone on the dresser?,**
image531,**Question 4:** What is the position of the office chair relative to the desk?,**
image531,**Question 5:** Are there more than one blankets on the bed?,**
image621,**Questions:**,**Answers:**
image1258,1.  **,**
image1258,2.  **,**
image1258,3.  **,**
image1258,4.  **,**
image1258,5.  **,**
image515,**Question 1:** Where is the window?,**Answer 1:** The window is behind the bed on the left side of the image.
image515,**Question 2:** How many curtains are there?,**Answer 2:** There are two curtains.
image515,**Question 3:** Is there a mirror on the wall?,"**Answer 3:** Yes, there is a mirror leaning on the wall."
image515,**Question 4:** What is the position of the bed relative to the mirror?,**Answer 4:** The bed is to the left of the mirror.
image515,**Question 5:** Are there more than one pillow on the bed?,"**Answer 5:** Yes, there is more than one pillow on the bed."
image741,**Question 1:** Where is the trash can?,**Answer 1:** The trash can is to the right of the toilet and near the red curtain.
image741,**Question 2:** How many windows are in the image?,**Answer 2:** There are two windows in the image.
image741,**Question 3:** Is there a painting on the wall?,"**Answer 3:** Yes, there is a painting on the wall next to the mirror."
image741,**Question 4:** What is the position of the toilet relative to the sink?,**Answer 4:** The toilet is to the right of the sink.
image741,**Question 5:** Are there more than five objects in the basket on the sink?,"**Answer 5:** Yes, there are more than five objects in the basket on the sink."
image688,**Question 1:** Where is the trash can?,**Answer 1:** The trash can is to the right of the toilet and near the red curtain.
image688,**Question 2:** How many windows are in the image?,**Answer 2:** There are two windows in the image.
image688,**Question 3:** Is there a painting on the wall?,"**Answer 3:** Yes, there is a painting on the wall next to the mirror."
image688,**Question 4:** What is the position of the toilet relative to the sink?,**Answer 4:** The toilet is to the right of the sink.
image688,**Question 5:** Are there more than five objects in the basket on the sink?,"**Answer 5:** Yes, there are more than five objects in the basket on the sink."
image1183,**Question 1:** Where is the trash can?,**Answer 1:** The trash can is to the right of the toilet and near the red curtain.
image1183,**Question 2:** How many windows are in the image?,**Answer 2:** There are two windows in the image.
image1183,**Question 3:** Is there a painting on the wall?,"**Answer 3:** Yes, there is a painting on the wall next to the mirror."
image1183,**Question 4:** What is the position of the toilet relative to the sink?,**Answer 4:** The toilet is to the right of the sink.
image1183,**Question 5:** Are there more than five objects in the basket on the sink?,"**Answer 5:** Yes, there are more than five objects in the basket on the sink."
image424,**Question 1:** Where is the trash can?,**Answer 1:** The trash can is to the right of the toilet and near the red curtain.
image424,**Question 2:** How many windows are in the image?,**Answer 2:** There are two windows in the image.
image424,**Question 3:** Is there a painting on the wall?,"**Answer 3:** Yes, there is a painting on the wall next to the mirror."
image424,**Question 4:** What is the position of the toilet relative to the sink?,**Answer 4:** The toilet is to the right of the sink.
image424,**Question 5:** Are there more than five objects in the basket on the sink?,"**Answer 5:** Yes, there are more than five objects in the basket on the sink."
image64,**Question 1:** Where is the pillow?,**
image64,**Question 2:** How many pillows are there?,**
image64,**Question 3:** Is there a nightstand next to the bed?,**
image64,**Question 4:** What is the position of the papers relative to the nightstand?,**
image64,**Question 5:** Are there more than one item on the nightstand?,**
image577,**Questions:**,**Answers:**
image980,**Questions:**,**Answers:**
image612,**Question 1:** Where is the computer monitor?,"**Answer 1:** The computer monitor is on the desk, to the left of the shelves."
image612,**Question 2:** How many cabinets are there?,**Answer 2:** There are 5 cabinets.
image612,**Question 3:** Is there a trash can next to the desk?,"**Answer 3:** Yes, there is a trash can next to the desk."
image612,**Question 4:** What is the position of the chair relative to the desk?,**Answer 4:** The chair is in front of the desk.
image612,**Question 5:** Are there more than 2 picture frames in the image?,"**Answer 5:** Yes, there are more than 2 picture frames in the image."
image817,**Question 1:** Where is the computer monitor?,"**Answer 1:** The computer monitor is on the desk, to the left of the shelves."
image817,**Question 2:** How many cabinets are there?,**Answer 2:** There are 5 cabinets.
image817,**Question 3:** Is there a trash can next to the desk?,"**Answer 3:** Yes, there is a trash can next to the desk."
image817,**Question 4:** What is the position of the chair relative to the desk?,**Answer 4:** The chair is in front of the desk.
image817,**Question 5:** Are there more than 2 picture frames in the image?,"**Answer 5:** Yes, there are more than 2 picture frames in the image."
image184,**Question 1:** Where is the computer monitor?,"**Answer 1:** The computer monitor is on the desk, to the left of the shelves."
image184,**Question 2:** How many cabinets are there?,**Answer 2:** There are 5 cabinets.
image184,**Question 3:** Is there a trash can next to the desk?,"**Answer 3:** Yes, there is a trash can next to the desk."
image184,**Question 4:** What is the position of the chair relative to the desk?,**Answer 4:** The chair is in front of the desk.
image184,**Question 5:** Are there more than 2 picture frames in the image?,"**Answer 5:** Yes, there are more than 2 picture frames in the image."
image365,**Questions:**,**Answers:**
image112,**Questions:**,**Answers:**
image71,**Questions:**,**Answers:**
image44,**Questions:**,**Answers:**
image992,**Questions:**,**Answers:**
image1397,**Questions:**,**Answers:**
image1053,**Questions:**,**Answers:**
image1172,**Questions:**,**Answers:**
image554,**Questions:**,**Answers:**
image1091,**Questions:**,**Answers:**
image517,**Question 1:** Where are the lamps?,**
image517,**Question 2:** How many stacks of books are there?,**
image517,**Question 3:** Is there a bed in the image?,**
image517,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image517,**Question 5:** Are there more than 10 books in the image?,**
image1264,**Question 1:** Where are the lamps?,**
image1264,**Question 2:** How many stacks of books are there?,**
image1264,**Question 3:** Is there a bed in the image?,**
image1264,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image1264,**Question 5:** Are there more than 10 books in the image?,**
image120,**Question 1:** Where are the lamps?,**
image120,**Question 2:** How many stacks of books are there?,**
image120,**Question 3:** Is there a bed in the image?,**
image120,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image120,**Question 5:** Are there more than 10 books in the image?,**
image1074,**Question 1:** Where are the lamps?,**
image1074,**Question 2:** How many stacks of books are there?,**
image1074,**Question 3:** Is there a bed in the image?,**
image1074,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image1074,**Question 5:** Are there more than 10 books in the image?,**
image627,**Question 1:** Where are the lamps?,**
image627,**Question 2:** How many stacks of books are there?,**
image627,**Question 3:** Is there a bed in the image?,**
image627,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image627,**Question 5:** Are there more than 10 books in the image?,**
image1032,**Question 1:** Where are the lamps?,**
image1032,**Question 2:** How many stacks of books are there?,**
image1032,**Question 3:** Is there a bed in the image?,**
image1032,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image1032,**Question 5:** Are there more than 10 books in the image?,**
image1043,**Question 1:** Where are the lamps?,**
image1043,**Question 2:** How many stacks of books are there?,**
image1043,**Question 3:** Is there a bed in the image?,**
image1043,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image1043,**Question 5:** Are there more than 10 books in the image?,**
image909,**Question 1:** Where are the lamps?,**
image909,**Question 2:** How many stacks of books are there?,**
image909,**Question 3:** Is there a bed in the image?,**
image909,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image909,**Question 5:** Are there more than 10 books in the image?,**
image351,**Question 1:** Where are the lamps?,**
image351,**Question 2:** How many stacks of books are there?,**
image351,**Question 3:** Is there a bed in the image?,**
image351,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image351,**Question 5:** Are there more than 10 books in the image?,**
image679,**Question 1:** Where are the lamps?,**
image679,**Question 2:** How many stacks of books are there?,**
image679,**Question 3:** Is there a bed in the image?,**
image679,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image679,**Question 5:** Are there more than 10 books in the image?,**
image1028,**Question 1:** Where are the lamps?,**
image1028,**Question 2:** How many stacks of books are there?,**
image1028,**Question 3:** Is there a bed in the image?,**
image1028,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image1028,**Question 5:** Are there more than 10 books in the image?,**
image1270,**Question 1:** Where are the lamps?,**
image1270,**Question 2:** How many stacks of books are there?,**
image1270,**Question 3:** Is there a bed in the image?,**
image1270,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image1270,**Question 5:** Are there more than 10 books in the image?,**
image1236,**Question 1:** Where are the lamps?,**
image1236,**Question 2:** How many stacks of books are there?,**
image1236,**Question 3:** Is there a bed in the image?,**
image1236,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image1236,**Question 5:** Are there more than 10 books in the image?,**
image517,**Question 1:** Where are the lamps?,**
image517,**Question 2:** How many stacks of books are there?,**
image517,**Question 3:** Is there a bed in the image?,**
image517,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image517,**Question 5:** Are there more than 10 books in the image?,**
image1228,**Question 1:** Where are the lamps?,**
image1228,**Question 2:** How many stacks of books are there?,**
image1228,**Question 3:** Is there a bed in the image?,**
image1228,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image1228,**Question 5:** Are there more than 10 books in the image?,**
image626,**Question 1:** Where are the lamps?,**
image626,**Question 2:** How many stacks of books are there?,**
image626,**Question 3:** Is there a bed in the image?,**
image626,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image626,**Question 5:** Are there more than 10 books in the image?,**
image671,**Question 1:** Where are the lamps?,**
image671,**Question 2:** How many stacks of books are there?,**
image671,**Question 3:** Is there a bed in the image?,**
image671,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image671,**Question 5:** Are there more than 10 books in the image?,**
image430,**Question 1:** Where are the lamps?,**
image430,**Question 2:** How many stacks of books are there?,**
image430,**Question 3:** Is there a bed in the image?,**
image430,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image430,**Question 5:** Are there more than 10 books in the image?,**
image794,**Question 1:** Where are the lamps?,**
image794,**Question 2:** How many stacks of books are there?,**
image794,**Question 3:** Is there a bed in the image?,**
image794,**Question 4:** What is the position of the bookshelf relative to the stack of books?,**
image794,**Question 5:** Are there more than 10 books in the image?,**
image964,**Question 1:** Where is the television?,**Answer 1:** The television is on top of the dresser.
image964,**Question 2:** How many drawers are visible on the dresser?,**Answer 2:** There are six drawers visible on the dresser.
image964,**Question 3:** Is there a bookshelf next to the dresser?,"**Answer 3:** Yes, there is a bookshelf next to the dresser."
image964,**Question 4:** What is the position of the box relative to the television?,**Answer 4:** The box is to the right of the television.
image964,**Question 5:** Are there more than 10 books visible in the image?,"**Answer 5:** Yes, there are more than 10 books visible in the image."
image1094,1.  **,**
image1094,2.  **,**
image1094,3.  **,**
image1094,4.  **,**
image1094,5.  **,**
image559,**Questions:**,**Answers:**
image909,**Questions:**,**Answers:**
image339,**Questions:**,**Answers:**
image1149,**Questions:**,**Answers:**
image7,**Questions:**,**Answers:**
image1344,**Questions:**,**Answers:**
image975,**Questions:**,**Answers:**
image792,**Questions:**,**Answers:**
image1221,**Questions:**,**Answers:**
image450,**Questions:**,**Answers:**
image222,**Questions:**,**Answers:**
image1134,**Questions:**,**Answers:**
image27,**Questions:**,**Answers:**
image670,**Questions:**,**Answers:**
image1324,**Questions:**,**Answers:**
image101,**Questions:**,**Answers:**
image325,**Questions:**,**Answers:**
image650,**Questions:**,**Answers:**
image336,**Questions:**,**Answers:**
